Method,Scenario,Perturbation,Frames,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,LPIPS_mean,LPIPS_std,TLPIPS_mean,TLPIPS_std,TempConsistency_mean,TempConsistency_std
LaMa,classic-car,grow_3px,63,9.318884951032329,1.6470934252514473,0.47566855774838734,0.05001060533018717,0.5193722134544736,0.06316773832126425,0.39489288339691775,0.08199165261960566,17.83920968302321,4.148324688557684
LaMa,classic-car,grow_7px,63,9.458092281171272,1.5978057962382182,0.4822424739132448,0.04764367660123319,0.513131795894532,0.06260922222051321,0.39662263422243055,0.08351311014378603,18.485214086673984,3.967265934973459
LaMa,classic-car,shift_5px,63,9.261165024369772,1.6889261573874523,0.47127294946048814,0.05210042643219604,0.5245432995614552,0.06409973180561548,0.3943301511387671,0.0822388036111323,17.368576139988374,4.314667959604079
LaMa,classic-car,shift_10px,63,9.31465960247794,1.6883710734910726,0.4719354699611551,0.0530528629133883,0.5229084250472841,0.06384645139332883,0.3945060324284338,0.08289087888589526,17.437965160110895,4.322059675601633
LaMa,crossing,original,52,10.049226655043926,0.8293408652852644,0.45527683710033184,0.053717515578933284,0.4817597596691205,0.033683637660061896,0.08997669465401593,0.016124197802019125,8.999285946241415,2.1214724839333754
LaMa,crossing,shrink_3px,52,9.936030201055681,0.9265124383361334,0.44537755049019684,0.055010738867259906,0.48693050558750445,0.03731112231985055,0.0898259454498104,0.017729786104398536,9.183135376429675,2.315881739191064
LaMa,crossing,shrink_7px,52,9.522167164751949,1.070943948708129,0.41889695443542013,0.061281210977522274,0.49978781090332913,0.036882075492105405,0.09060235379957686,0.015576234381333326,9.554606013367788,2.661544880237526
LaMa,crossing,grow_3px,52,10.621433474531234,0.7867425275168938,0.47093794189266724,0.05061474521612247,0.4766842361826163,0.03819295963928622,0.08809332001735182,0.016604377788036695,8.804557681118268,1.9618681034730832
LaMa,crossing,grow_7px,52,11.30538777228576,0.7519985810073913,0.4976076390779029,0.04547170951319138,0.46785627878629243,0.033988851279416685,0.08764199255143895,0.01620943209537254,8.253404724409615,1.762563927006932
LaMa,crossing,shift_5px,52,10.280468492721429,0.8710965356461936,0.4586369039380048,0.05337714039423807,0.4807659020790687,0.03696043582186484,0.08970391056409069,0.015898730581671287,8.956688924484753,2.1581672092965514
LaMa,crossing,shift_10px,52,10.508914935370019,0.8598701860795268,0.467145483841202,0.05199172941613613,0.4792135226038786,0.03485636559142139,0.08911092696236629,0.015927800165396036,8.840169741645122,2.0972740034669695
LaMa,drift-chicane,original,52,16.226747125100616,1.1268107352983758,0.2830703913237812,0.045225874455380184,0.6461659282445907,0.06490769029618518,0.1493769156347428,0.07976631634292626,7.972856199166431,4.0648413256444185
LaMa,drift-chicane,shrink_3px,52,16.144245969072582,1.2175843487149667,0.23718105510073476,0.044018776751312154,0.6739158417497363,0.0640714566511899,0.1501969556723322,0.0612785456826161,7.928372857695025,4.288405936352923
LaMa,drift-chicane,shrink_7px,52,16.085212127296764,1.347197493580676,0.2131844352391412,0.04347936009204166,0.7044538313692267,0.07590734253904477,0.14320179660405433,0.04391251702816099,7.717769787186878,4.387571669777373
